question,query_type,baseline_similarity,improved_similarity,similarity_change,baseline_exact_match,improved_exact_match,ground_truth_sql,improved_generated_sql,baseline_generated_sql
How many games are played on Christmas Day?,counting,0.2,0.875,0.675,False,False,"SELECT COUNT(*) as christmas_games FROM game_info WHERE strftime('%m-%d', game_date) = '12-25' LIMIT 1","SELECT COUNT(*) as christmas_games FROM game WHERE strftime('%m-%d', game_date) = '12-25'","SELECT COUNT(*) AS games_on_christmas
FROM games
WHERE MONTH(game_date) = 12 AND DAY(game_date) = 25;"
What's the most points scored by the home team?,ranking,0.525,0.65,0.125,False,False,SELECT pts_home FROM game ORDER BY pts_home DESC LIMIT 1,SELECT MAX(pts_home) as max_home_points FROM game LIMIT 1,"SELECT MAX(home_score) AS max_home_points
FROM games;"
Which team has the longest name?,detail,0.525,1.0,0.475,False,True,SELECT full_name FROM team ORDER BY LENGTH(full_name) DESC LIMIT 1,SELECT full_name FROM team ORDER BY LENGTH(full_name) DESC LIMIT 1,"SELECT team_name
FROM teams
ORDER BY LENGTH(team_name) DESC
LIMIT 1;"
How many players are guards?,counting,0.2833333333333333,0.7928571428571428,0.5095238095238095,False,False,SELECT COUNT(*) as guard_count FROM common_player_info WHERE position LIKE '%G%' LIMIT 1,SELECT COUNT(*) as guard_count FROM common_player_info WHERE position LIKE '%Guard%' OR position = 'G',"SELECT COUNT(*) 
FROM players 
WHERE position = 'Guard';"
What's the average game time in hours?,aggregation,0.2,0.5963414634146341,0.3963414634146341,False,False,"SELECT ROUND(AVG(CAST(SUBSTR(game_time, 1, INSTR(game_time, ':') - 1) AS INTEGER)), 2) as avg_hours FROM game_info WHERE game_time != '' LIMIT 1","SELECT ROUND(AVG(CAST(SUBSTR(game_time, 1, INSTR(game_time, ':') - 1) AS REAL) + CAST(SUBSTR(game_time, INSTR(game_time, ':') + 1) AS REAL) / 60), 2) AS avg_game_time_hours FROM game_info","SELECT AVG(game_time_hours) AS average_game_time
FROM games;"
List all teams that have never made the playoffs,filtering,0.42058823529411765,0.4923529411764706,0.07176470588235295,False,False,SELECT t.full_name FROM team t WHERE NOT EXISTS (SELECT 1 FROM game g WHERE g.season_type = 'Playoffs' AND (g.team_id_home = t.id OR g.team_id_away = t.id)),"SELECT t.full_name 
FROM team t 
LEFT JOIN team_info_common tic ON t.id = tic.team_id 
WHERE tic.conf_rank IS NULL OR tic.conf_rank > 8 
GROUP BY t.id, t.full_name 
HAVING COUNT(CASE WHEN tic.conf_rank <= 8 THEN 1 END) = 0","SELECT team.name
FROM team
WHERE team.id NOT IN (
    SELECT DISTINCT team_id
    FROM playoffs
)"
What's the most common player position?,ranking,0.30166666666666664,0.8516666666666667,0.55,False,False,SELECT position FROM common_player_info WHERE position IS NOT NULL GROUP BY position ORDER BY COUNT(*) DESC LIMIT 1,"SELECT position, COUNT(*) as position_count FROM common_player_info WHERE position IS NOT NULL GROUP BY position ORDER BY position_count DESC LIMIT 1","SELECT 
    position,
    COUNT(*) AS position_count
FROM 
    players
GROUP BY 
    position
ORDER BY 
    position_count DESC
LIMIT 1;"
List all players drafted in 2016,filtering,0.31666666666666665,0.7949999999999999,0.4783333333333333,False,False,SELECT player_name FROM draft_history WHERE season = 2016 ORDER BY overall_pick,SELECT dh.player_name FROM draft_history dh WHERE dh.season = '2016-17' ORDER BY dh.overall_pick,"SELECT *
FROM players
WHERE draft_year = 2016"
What are the top 10 teams by total points scored?,ranking,0.2704615384615385,0.9102051282051283,0.6397435897435899,False,False,"SELECT t.full_name FROM game g JOIN team t ON t.id = g.team_id_home OR t.id = g.team_id_away GROUP BY t.id, t.full_name ORDER BY SUM(CASE WHEN g.team_id_home = t.id THEN g.pts_home ELSE g.pts_away END) DESC LIMIT 10","SELECT t.full_name, SUM(g.pts_home) + SUM(g.pts_away) AS total_points FROM game g JOIN team t ON g.team_id_home = t.id OR g.team_id_away = t.id GROUP BY t.id, t.full_name ORDER BY total_points DESC LIMIT 10","SELECT team, SUM(points) as total_points
FROM teams
ORDER BY total_points DESC
LIMIT 10;"
List all games where both teams scored over 110 points,filtering,0.6017857142857143,0.9071428571428571,0.3053571428571429,False,False,SELECT g.game_id FROM game g WHERE g.pts_home > 110 AND g.pts_away > 110,"SELECT g.game_id, g.game_date, g.team_name_home, g.pts_home, g.team_name_away, g.pts_away FROM game g WHERE g.pts_home > 110 AND g.pts_away > 110","SELECT *
FROM games
WHERE home_team_score > 110 AND away_team_score > 110"
How many active players are there?,counting,0.7583333333333333,1.0,0.2416666666666667,False,True,SELECT COUNT(*) as active_players FROM player WHERE is_active = 1,SELECT COUNT(*) as active_player_count FROM player WHERE is_active = 1,"SELECT COUNT(*) AS active_player_count
FROM players
WHERE status = 'active';"
What's the most common jersey number by position?,aggregation,0.17025,0.6437499999999999,0.4734999999999999,False,False,"SELECT cpi.position, cpi.jersey FROM common_player_info cpi WHERE cpi.jersey != '' AND cpi.position IS NOT NULL GROUP BY cpi.position, cpi.jersey ORDER BY COUNT(*) DESC LIMIT 1","SELECT cpi.position, cpi.jersey, COUNT(*) as jersey_count FROM common_player_info cpi WHERE cpi.jersey != '' GROUP BY cpi.position, cpi.jersey HAVING COUNT(*) = (SELECT MAX(jersey_count) FROM (SELECT position, jersey, COUNT(*) as jersey_count FROM common_player_info WHERE jersey != '' GROUP BY position, jersey) t WHERE t.position = cpi.position) ORDER BY cpi.position","WITH jersey_counts AS (
  SELECT 
    position,
    jersey_number,
    COUNT(*) AS number_of_players
  FROM players
  WHERE jersey_number IS NOT NULL
  GROUP BY position, jersey_number
),
ranked_jerseys AS (
  SELECT
    position,
    jersey_number,
    number_of_players,
    RANK() OVER (PARTITION BY position ORDER BY number_of_players DESC) AS rank
  FROM jersey_counts
)
SELECT
  position,
  jersey_number AS most_common_jersey_number,
  number_of_players
FROM ranked_jerseys
WHERE rank = 1
ORDER BY position;"
Which team has the biggest home court advantage in terms of win percentage?,ranking,0.4139285714285714,0.651984126984127,0.23805555555555558,False,False,"SELECT t.full_name FROM game g JOIN team t ON t.id IN (g.team_id_home, g.team_id_away) GROUP BY t.id, t.full_name HAVING COUNT(*) >= 100 ORDER BY (CAST(SUM(CASE WHEN g.team_id_home = t.id AND g.pts_home > g.pts_away THEN 1 ELSE 0 END) AS FLOAT) / COUNT(CASE WHEN g.team_id_home = t.id THEN 1 END) * 100 - CAST(SUM(CASE WHEN g.team_id_away = t.id AND g.pts_away > g.pts_home THEN 1 ELSE 0 END) AS FLOAT) / COUNT(CASE WHEN g.team_id_away = t.id THEN 1 END) * 100) DESC LIMIT 1","SELECT t.full_name, t.nickname, 
       COUNT(CASE WHEN g.wl_home = 'W' THEN 1 END) * 100.0 / COUNT(*) AS home_win_percentage,
       COUNT(CASE WHEN g.wl_away = 'W' THEN 1 END) * 100.0 / COUNT(*) AS away_win_percentage,
       (COUNT(CASE WHEN g.wl_home = 'W' THEN 1 END) * 100.0 / COUNT(*)) - 
       (COUNT(CASE WHEN g.wl_away = 'W' THEN 1 END) * 100.0 / COUNT(*)) AS home_court_advantage
FROM game g
JOIN team t ON g.team_id_home = t.id
GROUP BY t.id, t.full_name, t.nickname
HAVING COUNT(*) >= 10
ORDER BY home_court_advantage DESC
LIMIT 1;","SELECT 
    team_name,
    COUNT(CASE WHEN home_team_score > away_team_score THEN 1 END) AS home_wins,
    COUNT(*) AS total_home_games,
    ROUND((COUNT(CASE WHEN home_team_score > away_team_score THEN 1 END) * 100.0) / COUNT(*), 2) AS home_win_percentage
FROM 
    games
JOIN 
    teams ON games.home_team_id = teams.team_id
GROUP BY 
    team_name
ORDER BY 
    home_win_percentage DESC
LIMIT 1;"
Which season type has the highest average attendance?,comparison,0.23944444444444446,0.8666666666666667,0.6272222222222222,False,False,"SELECT g.season_type, ROUND(AVG(gi.attendance), 0) as avg_attendance FROM game g JOIN game_info gi ON g.game_id = gi.game_id WHERE gi.attendance > 0 GROUP BY g.season_type ORDER BY avg_attendance DESC LIMIT 1","SELECT g.season_type, ROUND(AVG(gi.attendance), 2) as avg_attendance FROM game g JOIN game_info gi ON g.game_id = gi.game_id GROUP BY g.season_type ORDER BY avg_attendance DESC LIMIT 1","SELECT 
    season_type,
    AVG(attendance) AS average_attendance
FROM 
    games
GROUP BY 
    season_type
ORDER BY 
    average_attendance DESC
LIMIT 1;"
Which team has had the most different home arenas?,history,0.43222222222222223,0.9294444444444445,0.4972222222222223,False,False,"SELECT t.full_name FROM team t JOIN team_details td ON t.id = td.team_id GROUP BY t.id, t.full_name ORDER BY COUNT(DISTINCT td.arena) DESC LIMIT 1","SELECT t.full_name, COUNT(DISTINCT td.arena) AS arena_count 
FROM team t 
JOIN team_details td ON t.id = td.team_id 
GROUP BY t.id, t.full_name 
ORDER BY arena_count DESC 
LIMIT 1","SELECT 
    team_name,
    COUNT(DISTINCT arena_name) AS number_of_arenas
FROM 
    teams
JOIN 
    team_arenas ON teams.team_id = team_arenas.team_id
GROUP BY 
    team_name
ORDER BY 
    number_of_arenas DESC
LIMIT 1;"
What's the most common first name among NBA players?,detail,0.4766666666666666,0.8516666666666667,0.37500000000000006,False,False,SELECT first_name FROM player GROUP BY first_name ORDER BY COUNT(*) DESC LIMIT 1,"SELECT first_name, COUNT(*) as name_count FROM player GROUP BY first_name ORDER BY name_count DESC LIMIT 1","SELECT first_name, COUNT(*) as name_count
FROM players
WHERE league = 'NBA'
GROUP BY first_name
ORDER BY name_count DESC
LIMIT 1;"
Which conference produces the most drafted players?,counting,0.21833333333333335,0.5850000000000001,0.3666666666666667,False,False,SELECT CASE WHEN dh.organization LIKE '%ACC%' THEN 'ACC' WHEN dh.organization LIKE '%SEC%' THEN 'SEC' WHEN dh.organization LIKE '%Big Ten%' THEN 'Big Ten' ELSE 'Other' END as conference FROM draft_history dh WHERE dh.organization_type = 'College/University' GROUP BY conference ORDER BY COUNT(DISTINCT dh.person_id) DESC LIMIT 1,"SELECT dh.organization AS conference, COUNT(DISTINCT dh.person_id) AS drafted_players_count FROM draft_history dh WHERE dh.organization_type = 'College/University' GROUP BY dh.organization ORDER BY drafted_players_count DESC LIMIT 1","SELECT 
    conference,
    COUNT(*) AS drafted_players_count
FROM 
    players
WHERE 
    drafted = TRUE  -- Assuming there's a boolean field indicating if a player was drafted
    -- OR draft_position IS NOT NULL  -- Alternative condition if draft status is stored differently
GROUP BY 
    conference
ORDER BY 
    drafted_players_count DESC
LIMIT 1;"
Which team has the highest percentage of international players?,ranking,0.25357142857142856,0.6194444444444445,0.3658730158730159,False,False,"SELECT t.full_name FROM common_player_info cpi JOIN team t ON cpi.team_id = t.id GROUP BY cpi.team_id, t.full_name HAVING COUNT(*) >= 10 ORDER BY CAST(SUM(CASE WHEN cpi.country != 'USA' THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) * 100 DESC LIMIT 1","SELECT t.full_name, t.nickname, 
       COUNT(CASE WHEN cpi.country != 'USA' THEN 1 END) AS intl_players,
       COUNT(cpi.person_id) AS total_players,
       ROUND(CAST(COUNT(CASE WHEN cpi.country != 'USA' THEN 1 END) AS FLOAT) / COUNT(cpi.person_id) * 100, 2) AS intl_percentage
FROM team t
JOIN common_player_info cpi ON t.id = cpi.team_id
GROUP BY t.id, t.full_name, t.nickname
ORDER BY intl_percentage DESC
LIMIT 1","SELECT 
    team_name,
    (COUNT(CASE WHEN is_international = TRUE THEN 1 ELSE NULL END) * 100.0 / COUNT(*)) AS international_percentage
FROM 
    players
GROUP BY 
    team_name
ORDER BY 
    international_percentage DESC
LIMIT 1;"
Which school has the best average draft position?,aggregation,0.0,0.05555555555555555,0.05555555555555555,False,False,SELECT dh.organization FROM draft_history dh WHERE dh.organization_type = 'College/University' GROUP BY dh.organization HAVING COUNT(*) >= 5 ORDER BY AVG(dh.overall_pick) ASC LIMIT 1,"SELECT cpi.school, ROUND(AVG(dh.overall_pick), 2) AS avg_draft_position, COUNT(*) AS players_drafted FROM draft_history dh JOIN common_player_info cpi ON dh.person_id = cpi.person_id WHERE cpi.school IS NOT NULL AND cpi.school != '' GROUP BY cpi.school HAVING COUNT(*) >= 5 ORDER BY avg_draft_position ASC LIMIT 10","SELECT 
    school,
    AVG(draft_position) AS average_draft_position
FROM 
    players
WHERE 
    draft_position IS NOT NULL
GROUP BY 
    school
ORDER BY 
    average_draft_position ASC
LIMIT 1;"
List all teams that have never changed their team name,filtering,0.1675,0.38499999999999995,0.21749999999999994,False,False,SELECT t.full_name FROM team t LEFT JOIN team_history th ON t.id = th.team_id WHERE th.team_id IS NULL,"SELECT t.id, t.full_name, t.nickname 
FROM team t 
WHERE t.id NOT IN (
    SELECT th.team_id 
    FROM team_history th 
    GROUP BY th.team_id 
    HAVING COUNT(DISTINCT th.nickname) > 1
)","SELECT team_id, team_name
FROM teams
GROUP BY team_id, team_name
HAVING COUNT(DISTINCT team_name) = 1"
Who is the referee that has officiated the most games?,aggregation,0.285,0.685,0.4000000000000001,False,False,"SELECT o.first_name || ' ' || o.last_name as name FROM officials o GROUP BY o.official_id, o.first_name, o.last_name ORDER BY COUNT(*) DESC LIMIT 1","SELECT o.first_name, o.last_name, COUNT(*) as games_officiated FROM officials o GROUP BY o.official_id, o.first_name, o.last_name ORDER BY games_officiated DESC LIMIT 1","SELECT referee_name, COUNT(*) AS games_officiated
FROM matches
GROUP BY referee_name
ORDER BY games_officiated DESC
LIMIT 1;"
List all games with more than 15 lead changes,filtering,0.4944444444444444,0.6722222222222223,0.17777777777777787,False,False,SELECT g.game_id FROM game g JOIN other_stats os ON g.game_id = os.game_id WHERE os.lead_changes > 15,"SELECT g.game_id, g.game_date, g.team_name_home, g.team_name_away, o.lead_changes FROM game g JOIN other_stats o ON g.game_id = o.game_id WHERE o.lead_changes > 15 ORDER BY o.lead_changes DESC","SELECT *
FROM games
WHERE lead_changes > 15"
Which team has the highest win percentage?,ranking,0.26573426573426573,0.6195804195804197,0.3538461538461539,False,False,"SELECT t.full_name FROM game g JOIN team t ON t.id = g.team_id_home OR t.id = g.team_id_away GROUP BY t.id, t.full_name HAVING COUNT(*) >= 100 ORDER BY CAST(SUM(CASE WHEN (g.team_id_home = t.id AND g.pts_home > g.pts_away) OR (g.team_id_away = t.id AND g.pts_away > g.pts_home) THEN 1 ELSE 0 END) AS FLOAT) / COUNT(*) * 100 DESC LIMIT 1","SELECT t.full_name, t.nickname, tic.pct as win_percentage FROM team_info_common tic JOIN team t ON tic.team_id = t.id ORDER BY tic.pct DESC LIMIT 1","SELECT 
    team_name,
    (wins / CAST(games_played AS FLOAT)) * 100 AS win_percentage
FROM 
    teams
ORDER BY 
    win_percentage DESC
LIMIT 1;"
List all games where both teams scored over 120 points,filtering,0.6017857142857143,0.9071428571428571,0.3053571428571429,False,False,SELECT g.game_id FROM game g WHERE g.pts_home > 120 AND g.pts_away > 120,"SELECT g.game_id, g.game_date, g.team_name_home, g.pts_home, g.team_name_away, g.pts_away FROM game g WHERE g.pts_home > 120 AND g.pts_away > 120","SELECT *
FROM games
WHERE home_team_score > 120 AND away_team_score > 120"
What's the average attendance for Lakers home games?,aggregation,0.6526041666666667,0.6057291666666667,-0.046875,False,False,SELECT AVG(gi.attendance) as avg_attendance FROM game g JOIN team t ON g.team_id_home = t.id JOIN game_info gi ON g.game_id = gi.game_id WHERE t.nickname = 'Lakers',"SELECT ROUND(AVG(gi.attendance), 2) as avg_attendance FROM game_info gi JOIN game g ON gi.game_id = g.game_id WHERE g.team_name_home = 'Lakers'","SELECT AVG(attendance) AS average_attendance
FROM games
WHERE home_team = 'Lakers';"
List all players from Serbia,filtering,0.47500000000000003,0.6,0.12499999999999994,False,False,"SELECT first_name, last_name FROM common_player_info WHERE country = 'Serbia'",SELECT DISTINCT cpi.display_first_last FROM common_player_info cpi WHERE cpi.country = 'Serbia',"SELECT *
FROM players
WHERE country = 'Serbia';"
How many games were played in 2019?,counting,0.25,0.675,0.42500000000000004,False,False,"SELECT COUNT(DISTINCT game_id) as games_played FROM game_info WHERE strftime('%Y', game_date) = '2019'","SELECT COUNT(*) as games_count FROM game WHERE strftime('%Y', game_date) = '2019'","SELECT COUNT(*) 
FROM games 
WHERE YEAR(game_date) = 2019;"
What is the arena capacity for the Warriors?,detail,0.5908730158730159,0.7138888888888888,0.12301587301587291,False,False,SELECT td.arenacapacity FROM team t JOIN team_details td ON t.id = td.team_id WHERE t.nickname = 'Warriors',SELECT arenacapacity FROM team_details WHERE nickname = 'Warriors' LIMIT 1,"SELECT arena_capacity
FROM teams
WHERE team_name = 'Warriors' OR team_name LIKE '%Warriors%';"
Who is the player that was inactive the most times for the Celtics?,aggregation,0.12785714285714286,0.40722222222222215,0.27936507936507926,False,False,"SELECT ip.first_name || ' ' || ip.last_name as player_name FROM inactive_players ip JOIN team t ON ip.team_id = t.id WHERE t.nickname = 'Celtics' GROUP BY ip.player_id, ip.first_name, ip.last_name ORDER BY COUNT(*) DESC LIMIT 1","SELECT ip.first_name, ip.last_name, COUNT(*) as inactive_count FROM inactive_players ip WHERE ip.team_name = 'Celtics' GROUP BY ip.player_id, ip.first_name, ip.last_name ORDER BY inactive_count DESC LIMIT 1","SELECT 
    player_name,
    COUNT(*) AS inactive_count
FROM 
    games
WHERE 
    team_name = 'Celtics'
    AND status = 'Inactive'
GROUP BY 
    player_name
ORDER BY 
    inactive_count DESC
LIMIT 1;"
How many points did the Warriors score in the paint in their home games?,aggregation,0.5537946428571427,0.8338541666666667,0.2800595238095239,False,False,SELECT SUM(os.pts_paint_home) as total_paint_points FROM game g JOIN team t ON g.team_id_home = t.id JOIN other_stats os ON g.game_id = os.game_id WHERE t.nickname = 'Warriors',SELECT SUM(os.pts_paint_home) as total_paint_points FROM other_stats os JOIN game g ON os.game_id = g.game_id WHERE g.team_name_home = 'Warriors',"SELECT SUM(points_in_paint) AS total_points_in_paint
FROM game_stats
JOIN games ON game_stats.game_id = games.game_id
JOIN teams ON game_stats.team_id = teams.team_id
WHERE teams.team_name = 'Warriors'
AND games.home_team_id = teams.team_id;"
List all games that went to overtime,filtering,0.26944444444444443,0.7898313492063491,0.5203869047619047,False,False,SELECT g.game_id FROM game g JOIN line_score ls ON g.game_id = ls.game_id WHERE ls.pts_ot1_home IS NOT NULL,"SELECT g.game_id, g.game_date, g.team_name_home, g.team_name_away, g.pts_home, g.pts_away FROM game g JOIN line_score ls ON g.game_id = ls.game_id WHERE ls.pts_ot1_home IS NOT NULL AND ls.pts_ot1_home > 0","SELECT *
FROM games
WHERE went_to_overtime = TRUE;"
Which team had the most nationally televised games?,aggregation,0.034999999999999996,0.8422916666666667,0.8072916666666666,False,False,"SELECT t.full_name FROM game_summary gs JOIN team t ON gs.home_team_id = t.id OR gs.visitor_team_id = t.id WHERE gs.natl_tv_broadcaster_abbreviation IS NOT NULL GROUP BY t.id, t.full_name ORDER BY COUNT(*) DESC LIMIT 1","SELECT t.full_name, COUNT(*) as national_tv_games FROM game_summary gs JOIN team t ON gs.home_team_id = t.id OR gs.visitor_team_id = t.id WHERE gs.natl_tv_broadcaster_abbreviation IS NOT NULL AND gs.natl_tv_broadcaster_abbreviation != '' GROUP BY t.id, t.full_name ORDER BY national_tv_games DESC LIMIT 1","SELECT team_name, COUNT(*) AS nationally_televised_games
FROM games
WHERE nationally_televised = TRUE
GROUP BY team_name
ORDER BY nationally_televised_games DESC
LIMIT 1;"
Which team scored the most fast break points?,ranking,0.31575,0.7070000000000001,0.3912500000000001,False,False,"SELECT t.full_name FROM game g JOIN team t ON t.id = g.team_id_home OR t.id = g.team_id_away JOIN other_stats os ON g.game_id = os.game_id GROUP BY t.id, t.full_name ORDER BY SUM(CASE WHEN g.team_id_home = t.id THEN os.pts_fb_home ELSE os.pts_fb_away END) DESC LIMIT 1","SELECT t.full_name, MAX(GREATEST(o.pts_fb_home, o.pts_fb_away)) as max_fast_break_points FROM other_stats o JOIN team t ON o.team_id_home = t.id OR o.team_id_away = t.id GROUP BY t.full_name ORDER BY max_fast_break_points DESC LIMIT 1","SELECT team_name, SUM(fast_break_points) AS total_fast_break_points
FROM team_stats
GROUP BY team_name
ORDER BY total_fast_break_points DESC
LIMIT 1"
